"","longitude","latitude","eventDate"
"1",-121.674649,37.770104,2023-01-03
"2",-122.71764,38.370383,2023-01-06
"3",-120.093077,34.427571,2023-01-06
"4",-121.038325,35.484613,2023-01-05
"5",-120.107013,34.541812,2023-01-12
"6",-115.607527,30.807374,2023-01-11
"7",-120.09045,34.400884,2023-01-16
"8",-121.865794,37.506666,2023-01-12
"9",-122.513324,37.931773,2023-01-09
"10",-122.603201,38.282689,2023-01-25
"11",-121.687428,36.402473,2023-01-25
"12",-122.713871,38.323261,2023-01-27
"13",-122.615945,38.388718,2023-02-03
"14",-121.056635,37.076073,2023-02-07
"15",-121.115964,37.086176,2023-02-07
"16",-115.641138,30.854195,2023-02-10
"17",-121.999382,37.612571,2023-02-12
"18",-120.122987,34.508246,2023-02-13
"19",-120.071864,34.432118,2023-02-14
"20",-120.012768,34.527395,2023-02-15
"21",-115.890306,31.194005,2023-02-17
"22",-115.902432,31.055685,2023-02-20
"23",-115.964127,31.040875,2023-02-20
"24",-122.723861,38.200099,2022-01-03
"25",-120.073729,34.443632,2022-01-05
"26",-120.013149,34.493206,2022-01-05
"27",-122.409167,37.636533,2022-01-28
"28",-115.878666,31.18102,2022-01-25
"29",-122.441774,38.212678,2022-01-04
"30",-119.60655,34.5181,2022-01-04
"31",-122.405426,38.585167,2022-01-19
"32",-122.407312,38.428824,2022-01-19
"33",-122.535352,37.841149,2022-02-03
"34",-122.55869,37.964265,2022-02-03
"35",-121.526126,36.338053,2022-02-05
"36",-120.181834,34.476694,2022-02-07
"37",-121.44173,36.376502,2022-02-05
"38",-120.053717,34.576917,2022-02-08
"39",-120.073422,34.591986,2022-02-09
"40",-122.567896,38.369804,2022-02-09
"41",-120.085546,34.487494,2022-02-10
"42",-123.555342,38.610922,2022-02-17
"43",-122.514464,37.94957,2022-02-18
"44",-122.506963,37.813994,2022-02-18
"45",-121.509777,36.645931,2022-02-22
"46",-121.562682,37.091257,2022-02-21
"47",-121.491166,37.1152,2022-02-21
"48",-122.205062,37.152127,2022-02-27
"49",-122.344369,37.307843,2022-02-04
"50",-122.394517,37.337184,2022-02-04
"51",-122.72124,37.918708,2022-02-09
"52",-122.269432,37.11905,2022-03-08
"53",-122.195586,37.238792,2022-03-04
"54",-122.627283,38.139206,2022-03-10
"55",-122.144247,37.001276,2022-03-16
"56",-115.970186,31.197143,2022-03-18
"57",-122.490481,37.991928,2022-03-23
"58",-122.043411,36.805714,2022-03-26
"59",-122.570588,37.861225,2022-03-26
"60",-122.402889,37.852933,2022-03-26
"61",-122.531846,37.864045,2022-03-26
"62",-122.630764,38.344759,2022-03-27
"63",-121.038926,36.407536,2022-03-26
"64",-120.381278,34.813331,2022-03-28
"65",-122.511995,38.339624,2022-03-29
"66",-122.16239,37.938875,2022-03-20
"67",-122.726772,38.130946,2022-03-15
"68",-121.754718,37.300099,2022-03-31
"69",-122.004456,37.969261,2022-04-01
"70",-122.10697,37.870652,2022-04-01
"71",-121.143838,36.406946,2022-04-02
"72",-122.088876,36.863643,2022-04-03
"73",-115.610133,30.809856,2022-04-04
"74",-115.67793,30.804107,2022-04-04
"75",-122.085882,36.98899,2022-04-05
"76",-121.956927,37.487702,2022-04-04
"77",-115.629733,30.969314,2022-04-05
"78",-122.878575,38.03891,2022-04-05
"79",-121.832406,36.479092,2022-04-06
"80",-115.766164,30.976349,2022-04-06
"81",-122.163601,36.998478,2022-04-07
"82",-115.710404,30.888693,2022-04-05
"83",-122.123985,36.976533,2022-04-14
"84",-122.468447,37.821299,2022-04-15
"85",-122.594454,38.391058,2022-04-12
"86",-122.121774,36.976839,2022-04-05
"87",-122.137047,37.879673,2022-04-17
"88",-122.064307,37.869914,2022-04-17
"89",-121.175272,36.414719,2022-04-15
"90",-121.104531,36.409886,2022-04-15
"91",-120.737323,35.191281,2022-04-18
"92",-120.607891,35.31196,2022-04-18
"93",-121.587989,37.067734,2022-04-16
"94",-122.443901,38.386285,2022-04-19
"95",-121.740606,36.827463,2022-04-20
"96",-115.799516,30.989648,2022-04-06
"97",-120.191219,34.595412,2022-04-25
"98",-121.903725,37.823237,2022-04-30
"99",-120.666243,35.368673,2022-04-30
"100",-121.627763,37.252809,2022-04-02
"101",-115.747711,30.958737,2022-04-04
"102",-115.688204,30.942908,2022-04-05
"103",-122.086788,36.874247,2022-05-02
"104",-115.788338,30.830058,2022-05-03
"105",-115.65766,30.883051,2022-05-03
"106",-122.413019,37.998764,2022-05-03
"107",-115.601022,30.891532,2022-05-04
"108",-122.051219,36.809306,2022-05-05
"109",-115.740199,30.975993,2022-05-02
"110",-115.750208,30.994575,2022-05-02
"111",-115.713039,30.967322,2022-05-02
"112",-115.699745,30.891697,2022-05-03
"113",-121.635447,36.959199,2022-05-11
"114",-121.311701,37.140773,2022-05-11
"115",-122.132317,38.497607,2022-05-12
"116",-122.103937,38.498983,2022-05-12
"117",-121.618978,36.590978,2022-05-15
"118",-122.514762,37.899813,2022-05-15
"119",-122.519597,38.287976,2022-05-18
"120",-122.099075,36.857343,2022-05-23
"121",-122.197107,36.85487,2022-05-24
"122",-121.307055,37.18807,2022-05-28
"123",-120.607381,35.531494,2022-05-29
"124",-122.324766,37.470379,2022-05-30
"125",-121.918356,36.404267,2022-06-01
"126",-115.552857,30.91262,2022-06-02
"127",-119.934691,34.444208,2022-06-05
"128",-122.142849,36.930172,2022-06-07
"129",-115.520921,30.979503,2022-06-01
"130",-115.405853,30.935071,2022-06-01
"131",-121.808593,37.581175,2022-06-09
"132",-122.526566,38.297104,2022-06-08
"133",-119.941049,34.504713,2022-06-09
"134",-122.415993,37.694884,2022-06-15
"135",-120.670341,39.06758,2022-06-18
"136",-122.489152,37.815658,2022-06-22
"137",-122.480759,37.609464,2022-06-19
"138",-122.482092,37.788502,2022-06-19
"139",-115.625134,30.86814,2022-06-25
"140",-115.764657,30.928756,2022-06-25
"141",-115.675866,30.80416,2022-06-25
"142",-115.613481,30.810001,2022-06-26
"143",-115.660734,30.882681,2022-06-25
"144",-115.773954,30.820273,2022-06-27
"145",-115.759381,30.837001,2022-06-25
"146",-121.589027,37.697043,2022-06-25
"147",-115.681684,30.826178,2022-06-25
"148",-115.720969,30.907413,2022-06-24
"149",-115.776748,30.898517,2022-06-25
"150",-115.785432,30.883892,2022-06-24
"151",-119.428407,37.778958,2022-06-14
"152",-121.630263,37.365056,2022-06-28
"153",-121.6991,37.547134,2022-06-07
"154",-122.427924,37.519808,2022-07-02
"155",-122.583179,37.454895,2022-07-08
"156",-122.483485,37.447221,2022-07-08
"157",-122.562779,37.570991,2022-07-08
"158",-122.482947,37.54018,2022-07-08
"159",-122.485528,37.419498,2022-07-08
"160",-121.827054,36.599743,2022-07-09
